alpha,t,t_norm,D1_t,D1_k,D2_t,D2_k,D3_t,D3_k,D4_t,D4_k,AE08_t,AE08_k,AE09_t,AE09_k,AE1_t,AE1_k,AE15_t,AE15_k,AE2_t,AE2_k,AE3_t,AE3_k,R1_t,R1_k,R2_t,R2_k,R3_t,R3_k
0.1,0.570581283150658,0.048467148,0.0136124045,0.01752598673545969,0.008852288,0.009070637367173819,0.008057661,0.0020392914761426326,0.005156398,0.0020873144809828545,0.028108742,0.10520341509233908,0.04113832,0.14380335561603041,0.057262108,0.1846546999860256,0.14419734,0.39096187033183055,0.23173457,0.5688809912974218,0.3663635,0.8277676336693874,0.10740252,0.17525986735459687,0.08525439,0.08993758376742339,0.075046636,0.06048325876342844
0.11190476190476191,0.6505296278349739,0.055258237,0.015977886,0.01924996987245322,0.01228334,0.010005558781117531,0.008864917,0.002252771966153205,0.008017464,0.0023125696716635707,0.032184184,0.10707494943695979,0.04601538,0.14396218782707895,0.06193237,0.18243026382759042,0.15741426,0.3712292863646026,0.24188332,0.5295596697255567,0.3759991,0.7554184276410055,0.13326824,0.17202100737085854,0.095527485,0.08856160709451953,0.08304807,0.05962300660919451
0.12380952380952381,0.7304779725192899,0.062049326,0.02055844,0.02098461385916227,0.012363546,0.010954300186582477,0.011480853,0.0024700313066759673,0.00916107,0.0025431045925045463,0.034850493,0.10909786980971045,0.05177269,0.1445041560962432,0.07176063,0.18093875254396227,0.17287207,0.3552101385453618,0.2557674,0.4976938036096085,0.38722354,0.6973312281168669,0.1476058,0.16949111193938754,0.108932465,0.08754477987816346,0.09371277,0.05900360526271949
0.13571428571428573,0.8104263172036059,0.068840414,0.026236778,0.022726763625460448,0.016278315,0.011915447222753959,0.013933368,0.002690777811122097,0.0081131235,0.0027786850194264703,0.039312348,0.1112183615035859,0.05696369,0.14531144545726407,0.0775451,0.17996932468312274,0.1788366,0.3418963618801118,0.2655794,0.4712403563526181,0.3975023,0.6495169244685087,0.14828038,0.1674603635560243,0.12035442,0.08678188048150759,0.10138297,0.058554852600615756
0.14761904761904762,0.8903746618879218,0.0756315,0.030816764,0.024474397298940315,0.019238304,0.012888160618108902,0.017485823,0.0029148487978154446,0.009822845,0.003019208997837456,0.04555286,0.11340499847366133,0.06458224,0.14631069966393065,0.08539332,0.17938709591987367,0.19480792,0.330625643997436,0.2844504,0.44885824117297907,0.42028898,0.6093711250977939,0.1619688,0.16579430428314407,0.1265094,0.08620551303338546,0.11215569,0.05823179699220777
0.1595238095238095,0.9703230065722377,0.08242259,0.035214443,0.02622615936407166,0.024586312,0.013871941852242671,0.019122906,0.0031421584822120875,0.013172435,0.0032646547314761835,0.05078038,0.11563896590758163,0.06994464,0.1474543109474264,0.092445314,0.17910185903767842,0.19828291,0.32094303331633856,0.29626614,0.4296273122460333,0.4256444,0.5751164794588922,0.1888445,0.1644027900434343,0.1386911,0.08577052594793802,0.12087971,0.058004336621322185
0.17142857142857143,1.051517113816324,0.0893195,0.04083677,0.027947957019341663,0.028341623,0.014848893204854711,0.023526005,0.003368674028499259,0.016472023,0.0035108880390041855,0.056233693,0.11776921188392168,0.07830042,0.14853418675101335,0.10044513,0.17883896422801177,0.21569686,0.31215429545097817,0.3091222,0.4124040297415457,0.4329036,0.5448494101333783,0.20316677,0.16302974927949304,0.14735785,0.08534431726127492,0.13121584,0.05778303079358278
0.18333333333333335,1.1331746453422957,0.09625577,0.046875432,0.029661015845406848,0.032662034,0.015830320344731613,0.027583767,0.0035969735871744114,0.019117141,0.003760636066306588,0.0609927,0.11989456044774566,0.08389255,0.14966564098370008,0.10776556,0.1787229046677955,0.22443607,0.3043368397279345,0.3137575,0.3971382179843607,0.45236105,0.5182375039603755,0.21673042,0.1617873591567646,0.15696868,0.08498591658468124,0.139826,0.05760792454566202
0.19523809523809524,1.2148321768682673,0.10319205,0.052713044,0.0313771025809213,0.03547863,0.016822665136351708,0.030441428,0.003828545182287037,0.023187794,0.004015518359496021,0.06442063,0.12206201173996445,0.09165975,0.15089709460227885,0.11422723,0.17879738447029023,0.23874989,0.297441807907805,0.3281149,0.38363872371527447,0.46112254,0.4948150072416994,0.22564569,0.1607119888291091,0.16690691,0.0847152181301659,0.14937538,0.0574926947139279
0.20714285714285713,1.296489708394239,0.11012831,0.059383877,0.03309564510037632,0.040445507,0.017825844966976718,0.034681346,0.004063399852197505,0.027386216,0.004275622806119636,0.0721347,0.12426631960774753,0.09776388,0.1522127158675282,0.12297146,0.1790312871703791,0.24690616,0.29131505647903944,0.34880298,0.3716036150087808,0.47286755,0.4740202870273886,0.24662584,0.15977207979492017,0.18080257,0.08451647532067005,0.16018957,0.05742687126079861
0.21904761904761905,1.3781472399202108,0.11706459,0.06739402,0.03481620687584063,0.045480344,0.01883985275428935,0.038968742,0.004301566814203154,0.030196417,0.004541059550827698,0.07619378,0.1265042804219913,0.10396887,0.15360099046056033,0.13074736,0.17940107974789726,0.25862318,0.28583681357250007,0.35396194,0.3607984943017531,0.483886,0.4554191318585849,0.260901,0.15894355312883768,0.1931738,0.08437770286300873,0.16906162,0.057402497558794646
0.23095238095238094,1.4598047714461824,0.12400086,0.07440504,0.036538449052151284,0.05242332,0.019864738237512957,0.045600325,0.004543089380368778,0.029477809,0.00481195715866308,0.08356349,0.12877411092170327,0.11202027,0.15505348161654564,0.13881999,0.17988870374399826,0.26925662,0.28091245934352377,0.37605554,0.351038343681278,0.49717337,0.4386701786829662,0.26980305,0.15820771754539734,0.20406657,0.08428962624622609,0.18005803,0.05741342911798175
