alpha,t,t_norm,D1_t,D1_k,D2_t,D2_k,D3_t,D3_k,D4_t,D4_k,AE08_t,AE08_k,AE09_t,AE09_k,AE1_t,AE1_k,AE15_t,AE15_k,AE2_t,AE2_k,AE3_t,AE3_k,R1_t,R1_k,R2_t,R2_k,R3_t,R3_k
0.1,1.8472189259713303,0.03129456,0.013872419,0.005413543494711469,0.008198898,0.0028017988746162677,0.007871248,0.0006299099315279115,0.004999809,0.0006447435970654578,0.02614158,0.032495931441181965,0.041862756,0.04441893812105653,0.058041826,0.05703737341388712,0.14353758,0.12076290606410738,0.22959927,0.17571974897551426,0.3607874,0.25568637909083086,0.10401726,0.05413543494711468,0.08486977,0.02778051980086885,0.07491506,0.018682471746668268
0.11190476190476191,2.1942728760874393,0.037174154,0.015618306,0.005706981968118007,0.012883864,0.002966318592866738,0.009651825,0.0006678726810640796,0.007707676,0.0006856007309957752,0.03213139,0.031744195431096606,0.045335427,0.04268004653844446,0.061617587,0.05408456392406748,0.15672617,0.11005725501689362,0.23797022,0.15699699823899677,0.3698724,0.2239566801141108,0.13264321,0.05099856226828856,0.09548682,0.0262555992609231,0.08306341,0.0176762574621261
0.12380952380952381,2.543438940848509,0.04308953,0.020497315,0.006026800148317007,0.01323957,0.0031460849569256676,0.011429211,0.0007093952333520162,0.008973621,0.0007303819473714122,0.03609211,0.03133300723868936,0.05137542,0.04150172479885841,0.07234665,0.05196577397072864,0.17249428,0.10201667421839106,0.2533061,0.14293811215883806,0.38234812,0.20027416169041626,0.14674973,0.048678001197945055,0.109314084,0.02514294024637146,0.09368455,0.01694588898967675
0.13571428571428573,2.894410336525474,0.049035493,0.026230952,0.006363426468773834,0.016686775,0.003336289913254819,0.013887614,0.0007534098135161454,0.00870461,0.0007780235713454119,0.039779134,0.03114081164696571,0.057334032,0.04068677412575524,0.07736216,0.05039087760709409,0.17824477,0.09572996818288958,0.26238745,0.131945903349356,0.38878363,0.18186281413378083,0.1434075,0.046888405559386136,0.12023211,0.024298669373554703,0.10152216,0.016395185212226167
0.14761904761904762,3.246251898198712,0.054996196,0.030788837,0.006712782588451101,0.019674916,0.003534935677380237,0.017019928,0.0007994781656498783,0.010816745,0.000828101846350909,0.04481545,0.031104467656503983,0.064914875,0.040129769293671506,0.08528313,0.04920188878914187,0.19432434,0.09068325725093612,0.2809288,0.12311182781033055,0.41395152,0.1671369402276738,0.1589603,0.04547368850241069,0.12592226,0.02364425402802707,0.112430766,0.01597168617347061
0.1595238095238095,3.599968179439154,0.06098866,0.03459269,0.007068908539339709,0.024272699,0.0037389953616646593,0.019923456,0.0008469265597957277,0.0139243435,0.0008799437763252021,0.05043008,0.031168928024755505,0.07050474,0.03974432639369464,0.09259161,0.048274497351582644,0.1959026,0.08650587824763495,0.29340386,0.11580026393151806,0.41837233,0.15501491226090014,0.18741035,0.04431256099287579,0.13866685,0.02311829173613728,0.12049006,0.01563428883235238
0.17142857142857143,3.9547479390035987,0.066999145,0.040798932,0.007431005858099033,0.02858807,0.003948131604582004,0.023414634,0.000895687524582923,0.016149042,0.0009335004189005471,0.0563511,0.03131333366540804,0.078528345,0.039493348694893474,0.10052609,0.04755100309890284,0.215014,0.0829978519188962,0.30669308,0.10965297960034084,0.42477626,0.14486851957303848,0.20087577,0.04334753417224436,0.14656359,0.02269196711176763,0.131211,0.015363772029156534
0.18333333333333335,4.311390350728162,0.073041186,0.046762764,0.0077958867968042946,0.032307453,0.00416072686140945,0.027324304,0.0009454025122692873,0.018925702,0.0009884183741281243,0.060541406,0.03151221878828453,0.08436238,0.03933703419199515,0.108211465,0.04697423513908204,0.22275975,0.07998969296877788,0.3077405,0.10438093577870837,0.4448957,0.13620979590822535,0.21506914,0.04252301889165978,0.1562399,0.02233708341177483,0.13985151,0.015141250073751965
0.19523809523809524,4.668941392152576,0.07909861,0.053046294,0.008164144852250031,0.035611093,0.004377162442576276,0.030745944,0.0009961658301930313,0.022984982,0.0010448151947506027,0.065487854,0.03175984596512905,0.09334425,0.03926257164566111,0.11327603,0.04652206946942482,0.2382051,0.07739267826312939,0.32485417,0.09982062885718064,0.45293528,0.1287480698311745,0.22363724,0.04181635168225625,0.16678342,0.022042421228057343,0.14923747,0.014959274406557237
0.20714285714285713,5.027634368278007,0.08517539,0.0592705,0.008534463750195582,0.040842704,0.0045967989814327355,0.03491872,0.0010478399389391377,0.026193174,0.0011025664475693398,0.07282087,0.03204489282036931,0.09820555,0.03925150580840221,0.12296066,0.04616728351637667,0.24526173,0.0751222035970609,0.34560144,0.0958264319101613,0.4656559,0.12223689685524676,0.2433244,0.04120085948370281,0.17994215,0.02179449268116416,0.1599404,0.014808823021155172
0.21904761904761905,5.387687365687381,0.09127521,0.06744814,0.00890583587236583,0.045816038,0.004819153249163048,0.039334103,0.0011003222774360276,0.029397823,0.0011615834887049078,0.07856924,0.03235925046653417,0.10379831,0.039290472272090406,0.13077465,0.04589002407004481,0.25679147,0.07311582669056195,0.34993264,0.09229070199137103,0.47436756,0.11649425383792501,0.25888875,0.04065707680862661,0.19295275,0.021583453236735294,0.1690962,0.014683311819279336
0.23095238095238094,5.748383948070017,0.09738593,0.07448875,0.009278956094344032,0.05156041,0.0050446594946718815,0.045057833,0.0011537196565993965,0.03068554,0.0012219987536791824,0.08531603,0.03270224523282881,0.111273125,0.03937590361708025,0.13909158,0.045682819802411505,0.2689543,0.07133784942219083,0.37284073,0.08914635029529393,0.49035928,0.1114004954640416,0.2677813,0.04017692329509787,0.20410867,0.021405389704173855,0.179997,0.014580166970171926
