alpha,t,t_norm,D1_t,D1_k,D2_t,D2_k,D3_t,D3_k,D4_t,D4_k,AE08_t,AE08_k,AE09_t,AE09_k,AE1_t,AE1_k,AE15_t,AE15_k,AE2_t,AE2_k,AE3_t,AE3_k,R1_t,R1_k,R2_t,R2_k,R3_t,R3_k
0.1,1.035580196899819,0.048489664,0.013950285,0.009656422583143883,0.007894324,0.0049977161821461715,0.0077900887,0.0011236035129476567,0.0049619228,0.0011500631032377315,0.02511869,0.057964703993876286,0.042109493,0.07923239881797643,0.05832167,0.10174056627699182,0.1432106,0.2154111543507018,0.2282379,0.3134405688195117,0.35743168,0.4560812576211841,0.10193133,0.09656422583143882,0.0845873,0.04955357595974825,0.07478341,0.033324908585239
0.11190476190476191,1.1369522158153424,0.053236272,0.015406152,0.011014249818741122,0.013094179,0.005724877738589574,0.01002308,0.0012889678988731788,0.0075874273,0.0013231823351264624,0.032042257,0.06126504354250465,0.04502403,0.08237080430183064,0.0614654,0.10438107246969229,0.15637769,0.21240615580930475,0.23549287,0.30299800648695774,0.3662365,0.432227548138926,0.13218021,0.09842521114619725,0.09543182,0.05067226968931999,0.083064206,0.03411447883239887
0.12380952380952381,1.2383242347308658,0.057982884,0.02040232,0.012378662838067258,0.013570234,0.006461857699491405,0.011402572,0.0014570525314413923,0.008870222,0.0015001579025391196,0.03660907,0.064355997007594,0.051148005,0.08524189384756427,0.07260085,0.10673438296813188,0.1722467,0.2095357375278254,0.2517938,0.29358575920560454,0.3794988,0.41135034541248705,0.14612713,0.09998150753823554,0.10936591,0.051641994492619296,0.093632914,0.03480577439640214
0.13571428571428573,1.3396962536463894,0.06272949,0.026187116,0.013748166643601198,0.016807515,0.0072080458419489365,0.013835311,0.0016277399790777104,0.00900913,0.0016809179400430084,0.03999594,0.06727964407860561,0.057591695,0.08790367164865331,0.0772775,0.10886936245106536,0.1779768,0.20682435191533022,0.26042926,0.28506878740393227,0.38359475,0.39291414574438666,0.14039804,0.10130228053179828,0.120010175,0.05249721316097317,0.10158593,0.03542175580349314
0.14761904761904762,1.4410682725619128,0.0674761,0.030745916,0.01512168690052013,0.01986469,0.00796304510424431,0.01682897,0.0018009608303952436,0.0111628175,0.0018654405497661817,0.04445877,0.07006811481102009,0.06498736,0.0903991450122365,0.08518282,0.11083564041886958,0.19397226,0.20427949292252978,0.2786779,0.27733037520110154,0.41015863,0.3765044445178431,0.15718116,0.10243723384223313,0.12549704,0.05326271210143361,0.11253102,0.035978945304158405
0.1595238095238095,1.5429912020018133,0.07224851,0.034226526,0.0164925410928939,0.024144433,0.008723487410427598,0.020332307,0.0019759728128267763,0.0142161865,0.002053005610373227,0.05031785,0.0727205371817909,0.07074041,0.09272788473772274,0.09261042,0.11262971176935654,0.19472186,0.2018277282604736,0.2915851,0.27017475199034263,0.41403413,0.3616668395476289,0.1864248,0.10338607849276774,0.13859366,0.05393751727496081,0.12027487,0.03647651537585588
0.17142857142857143,1.6449192420994254,0.07702115,0.04076255,0.017865773802082197,0.028679023,0.009492177443439432,0.023379216,0.002153429968582886,0.015982198,0.0022443404899283137,0.05630595,0.0752841468487845,0.07845275,0.0949507035714036,0.10052379,0.11432307841625523,0.21463668,0.19954510556946892,0.3051855,0.263629899864616,0.41998887,0.34829580963303425,0.19931474,0.10421701384547948,0.14601454,0.05455648391143095,0.13119054,0.03693788984441546
0.18333333333333335,1.7468472821970373,0.0817938,0.046705782,0.019241012911465218,0.03210578,0.01026908180532795,0.027201995,0.0023333460861132177,0.018799243,0.0024395134503908734,0.060318477,0.07777524537976183,0.084380455,0.09708765692918873,0.108404025,0.11593701760623065,0.22190273,0.19742240431547792,0.3039212,0.2576223828509458,0.4404437,0.33617913010390754,0.21393017,0.10495097951708299,0.15582791,0.055130111754138685,0.13984624,0.0373700896072797
0.19523809523809524,1.8487753222946492,0.08656644,0.053210218,0.020617926566051648,0.03562979,0.011054190664420252,0.030892344,0.0025157409999737204,0.022842288,0.002638601268144568,0.06608995,0.08020707418948772,0.09394095,0.0991546369686816,0.112841785,0.11748794630426025,0.23783201,0.19544931968465704,0.3228547,0.25208940223387116,0.44807336,0.3251434531527773,0.22237733,0.10560401411880112,0.16672197,0.055666457472617364,0.14915524,0.037778509173659526
0.20714285714285713,1.949907524606078,0.09130182,0.059197027,0.022005229850053768,0.04102326,0.011852369536235042,0.03501829,0.0027017466331020054,0.025630593,0.002842853261069223,0.07316288,0.08262443343512996,0.098274365,0.10120593777843595,0.122880444,0.11903755350852424,0.24438623,0.19369481263049218,0.34345368,0.24707851853554386,0.46135783,0.3151751639223234,0.24105614,0.10623214410370785,0.17937176,0.056194839529705796,0.15978083,0.03818301464832155
0.21904761904761905,2.050170010228594,0.09599648,0.06749371,0.023403844154895652,0.04601301,0.012664360001506437,0.03951343,0.00289156138405588,0.029038459,0.003052551083599505,0.079686165,0.08503759397115587,0.10367932,0.10325230590444008,0.13079171,0.1205954148484022,0.25578147,0.1921427070570631,0.3473784,0.24253278830953506,0.46871006,0.30613784049440174,0.25745818,0.10684363635930624,0.1926924,0.05671963677709703,0.16908559,0.03858660168692976
0.23095238095238094,2.1504324958511094,0.10069114,0.07451298,0.02480384870042754,0.050997593,0.013485026718392112,0.04476358,0.003084041729914412,0.03122979,0.0032665605796804043,0.08610049,0.08741732740968494,0.11067219,0.10525687866504785,0.13917322,0.12211608063094453,0.26874423,0.19069529004027402,0.3706512,0.2382997141529315,0.48626193,0.29778791995007187,0.26644802,0.10739810777504709,0.20401901,0.05721937276108556,0.17993212,0.038974670413146464
