Time,Alpha,Smoothed_Alpha
0.0020000000949949,0,-0.0217151499378539
0.629000008106232,0,-0.0106659277811216
1.2170000076294,0,-2.58202290427424E-4
1.84399998188019,0.00823620606738562,0.0108834780790712
2.45099997520447,0.0163982877838836,0.0217064167957162
3.05900001525879,0.0215922995789802,0.0325768866741288
3.66599988937378,0.0335386151615855,0.0434533678894183
4.25500011444092,0.059582975395724,0.0540264469303996
4.86199998855591,0.0625509568632453,0.0649404034606938
5.46999979019165,0.0678191814631172,0.0758885965602823
6.0770001411438,0.0856273356298698,0.0868345860533829
6.7039999961853,0.0938636301511353,0.0981623218702909
7.25600004196167,0.10350961414751,0.108166897871031
7.80299997329712,0.111745908668776,0.118154916694795
8.33199977874756,0.119165950791455,0.12799683308142
8.86200046539307,0.1348222874354,0.138083406206779
9.44299983978272,0.137048317762976,0.149138566395896
9.98999977111817,0.163092677997114,0.15946275185367
10.5369997024536,0.180974956514762,0.169705428281917
11.0830001831055,0.193663223237306,0.179828070977211
11.6300001144409,0.198115283892464,0.189843620759091
12.1770000457764,0.21072933781024,0.199742600005214
12.7239999771118,0.214513571676348,0.209515233014678
13.2530002593994,0.224159644126602,0.218850120395035
13.8170003890991,0.232321725843101,0.22853300682582
14.3470001220703,0.240557976137426,0.237444576165208
14.91100025177,0.242041966871186,0.246731111036322
15.4569997787476,0.265118345637807,0.25543168079891
15.9870004653931,0.266602336371566,0.263587894461049
16.5340003967285,0.275506413454942,0.271834876870953
17.0979995727539,0.283742663749269,0.280122388640582
17.6439990997315,0.283742663749269,0.288025831458899
18.1110000610352,0.293388691972586,0.294726105622936
18.6490001678467,0.298656960799394,0.302369398545567
19.1410007476807,0.309787023983409,0.309278671631105
19.6180000305176,0.317949061472967,0.315891497719944
20.1100006103516,0.326927351361113,0.322661265534885
20.6019992828369,0.326927351361113,0.329320223699161
21.0939998626709,0.33508938885067,0.33590498436842
21.5400009155273,0.344809674105695,0.341800776087729
22.0779991149902,0.352971711595253,0.34888530245428
22.5699996948242,0.361949957256459,0.35534120554223
23.0470008850098,0.361949957256459,0.361605131705823
23.5240001678467,0.370854034339835,0.36787921975463
24.0470008850098,0.379016071829393,0.374746021729434
24.492000579834,0.379016071829393,0.380566503810388
25.0149993896484,0.38725232212372,0.387365796665164
25.5380001068115,0.388736357084419,0.39411983318853
25.9839992523193,0.396898394573975,0.399855206713641
26.5219993591309,0.405134644868302,0.406723267192648
27.0139999389648,0.41032870089034,0.412975495664857
27.5060005187988,0.415522712685439,0.419183403087015
27.9109992980957,0.422200759441236,0.424258393867424
28.3810005187988,0.430437009735562,0.430105712373036
28.8239994049072,0.439341086818939,0.435580268130019
29.2810001373291,0.448319332480146,0.441167824150883
29.7240009307861,0.448319332480146,0.446562087630382
30.1669998168945,0.456481414196642,0.451916177423632
30.6100006103516,0.457223409563522,0.457256594228211
31.0249996185303,0.464643451686199,0.46213063562538
31.4950008392334,0.474363692714286,0.467656356180512
31.923999786377,0.474363692714286,0.472570380920069
32.367000579834,0.482525774430782,0.477601505305686
32.810001373291,0.482525774430782,0.482531971729779
33.2669982910156,0.490762024725109,0.487537819167406
33.681999206543,0.490762024725109,0.49199794911907
34.1389999389648,0.490762024725109,0.496839200001131
34.5950012207031,0.499666101808486,0.501619386925841
35.0379981994629,0.499666101808486,0.506245167272802
35.4809989929199,0.510054169625622,0.510877761380353
35.8959999084473,0.517548380326129,0.515241637430275
36.367000579834,0.525710462042626,0.520209995908239
36.7680015563965,0.525710462042626,0.524491463619127
37.1669998168945,0.525710462042626,0.528785464860444
37.515998840332,0.534688707703832,0.53257140297939
37.9640007019043,0.533946712336953,0.53745256456318
38.3380012512207,0.542108749826509,0.541544698095752
38.7739982604981,0.543592784787209,0.546318699289385
39.1469993591309,0.551012826909886,0.5503934830309
39.5579986572266,0.551754822276765,0.5548614777964
39.9570007324219,0.559991072571092,0.559184016300185
40.3559989929199,0.568153154287589,0.563500205773563
40.7669982910156,0.568153154287589,0.567965944302209
41.1529998779297,0.577131399948795,0.572191685145296
41.5509986877441,0.577131399948795,0.576577242313492
41.9500007629395,0.577131399948795,0.580998025839027
42.3489990234375,0.586035432805232,0.585413301869867
42.7470016479492,0.586035432805232,0.589776453162662
43.1459999084473,0.594939509888609,0.594095366967953
43.5439987182617,0.594939509888609,0.598344509113375
43.9179992675781,0.603175760182936,0.602289065968882
44.3419990539551,0.603175760182936,0.606720911122977
44.6689987182617,0.611337819785963,0.610105619521225
45.0610008239746,0.619574070080289,0.614177330773573
45.3870010375977,0.619574070080289,0.617577369533292
45.7789993286133,0.628478125050196,0.6217018783738
46.1380004882813,0.629220142530545,0.625496294648145
46.4630012512207,0.629220142530545,0.628926049700823
46.8440017700195,0.629220142530545,0.632916783843677
47.2140007019043,0.637382202133572,0.636737860448409
47.5610008239746,0.636640184653223,0.640234219707879
47.8979988098145,0.637382202133572,0.643573938343756
48.2789993286133,0.646360447794779,0.647282019286393
48.6489982604981,0.655264502764685,0.650830015597009
49.007999420166,0.655264502764685,0.654233061548248
49.3769989013672,0.655264502764685,0.657712046246622
49.7249984741211,0.663500775172482,0.66098407414065
50.0839996337891,0.672404830142389,0.66437081935033
50.4539985656738,0.672404830142389,0.667872323789486
50.8009986877442,0.672404830142389,0.671149307780201
51.1599998474121,0.672404830142389,0.674511796187599
51.5069999694824,0.672404830142389,0.677682055373526
51.8540000915527,0.680566889745416,0.680796503463716
52.1669998168945,0.680566889745416,0.683539552727731
52.5,0.688803140039742,0.686418648603524
52.8019981384277,0.688803140039742,0.688996588640916
