alpha,t,t_norm,D1_t,D1_k,D2_t,D2_k,D3_t,D3_k,D4_t,D4_k,AE08_t,AE08_k,AE09_t,AE09_k,AE1_t,AE1_k,AE15_t,AE15_k,AE2_t,AE2_k,AE3_t,AE3_k,R1_t,R1_k,R2_t,R2_k,R3_t,R3_k
0.1,0.7828207940959973,0.044949666,0.013811298,0.012774315750705138,0.008390302,0.006611392986734673,0.007926412,0.001486395808531592,0.005059123,0.001521398746533676,0.026697472,0.07668051235728546,0.041654404,0.10481518092977875,0.05780466,0.13459084946701855,0.14379194,0.28496372007404974,0.23027298,0.4146451504898277,0.36249393,0.6033420702819805,0.105026856,0.12774315750705137,0.085019544,0.0655535753987563,0.07498484,0.04408494977988314
0.11190476190476191,0.8871141731647206,0.050938204,0.015728092,0.014116193964399917,0.01270552,0.007337175559873237,0.009408675,0.0016519800416564777,0.0078037903,0.001695830292602497,0.032155693,0.07851912314644124,0.04555834,0.10556890116563261,0.06172232,0.13377792309441833,0.15698497,0.27222612016070974,0.23920827,0.3883313617164043,0.3717415,0.5539558305554617,0.13284606,0.12614471202229713,0.09550184,0.06494310546086553,0.08306257,0.043722142507895155
0.12380952380952381,0.9914075522334441,0.056926742,0.020540707,0.015461651619869458,0.0129577,0.008071226583493149,0.011443926,0.001819941210751417,0.009035908,0.0018737822628567113,0.035774767,0.0803842885453484,0.051521994,0.10647195770094302,0.07215792,0.1333172950021677,0.17266233,0.26172201456239713,0.25408244,0.3667052563571306,0.38381988,0.5137999004966747,0.14701886,0.12488257077586869,0.1092294,0.06450377865892064,0.0936875,0.043474385328760336
0.13571428571428573,1.0963186647228529,0.06295075,0.026233321,0.016800194997678805,0.01655459,0.008808198128243664,0.013899028,0.001989090601163971,0.008531973,0.0020540738194326966,0.03965599,0.08221540873023099,0.057187594,0.10741787345126859,0.07742214,0.1330378490358314,0.17846121,0.252738385598731,0.2633961,0.3483527178779831,0.39143056,0.48013923870528596,0.144865,0.12379091050921223,0.120340236,0.0641513476525651,0.101461604,0.04328521904670244
0.14761904761904762,1.201623417558211,0.06899736,0.030799484,0.018134952183468906,0.019548979,0.009549823584517517,0.017151345,0.0021598343331916763,0.010511279,0.002237162784394778,0.04502462,0.08403043390879572,0.0648259,0.10841278377262209,0.08532648,0.13292161466133895,0.19453573,0.2449858180892456,0.28204772,0.33259338897715673,0.41589597,0.4515296569167659,0.15983845,0.12284967608156357,0.12618473,0.06387625557094065,0.11234769,0.04314839058598106
0.1595238095238095,1.3069281703935693,0.07504398,0.034784026,0.019471495359477387,0.024368092,0.010299161522404043,0.01967828,0.002332881588028163,0.013696535,0.002423828383400985,0.05051822,0.08585563584765256,0.07032621,0.10947679725004145,0.092552826,0.1329733785536071,0.19679765,0.23828272745252918,0.29431093,0.3189748868895999,0.42058325,0.4269926719153522,0.18785784,0.1220601201638881,0.13870825,0.06367994546174859,0.120651335,0.04306506170701057
0.17142857142857143,1.412232923228928,0.081090584,0.04081776,0.020809425002533355,0.028500782,0.011056154455340217,0.02344258,0.0025082394933384116,0.016232241,0.00261412887136571,0.05634701,0.08768832657821428,0.07850891,0.11059524019478059,0.10050048,0.13315950110621788,0.21528414,0.232423121157311,0.30746263,0.307066835751538,0.4272396,0.40568270983093657,0.20159616,0.12138831251477789,0.14689471,0.06354547376081329,0.13123316,0.0430239550206114
0.18333333333333335,1.5175376760642862,0.0871372,0.046788566,0.02214845248408006,0.03241087,0.011820805456915892,0.027405476,0.002685929537857023,0.01897824,0.00280813946692279,0.0606716,0.08952758020888124,0.08427114,0.11175822011976669,0.10807588,0.13345583922286403,0.22340533,0.2272541867413168,0.3096296,0.29655076537107017,0.4471747,0.38697793736258956,0.21558324,0.12080974082225485,0.1564966,0.06346062269419166,0.13985014,0.04301694810980818
0.19523809523809524,1.62328653381359,0.09320931,0.05295376,0.02348193805479866,0.035557456,0.01258971505191264,0.030650774,0.002865199569609921,0.023050008,0.0030051262105037766,0.065166734,0.09134854281493676,0.092843086,0.11292808884955255,0.113577485,0.13380805623028616,0.23844719,0.22259895062603066,0.32588977,0.2871068392140745,0.45543784,0.37030874086185844,0.22424708,0.1202733412562858,0.16683048,0.06339901841800023,0.149296,0.043026276642152125
0.20714285714285713,1.7295111164794708,0.09930874,0.059305467,0.024809417445461928,0.04072646,0.01336274992563246,0.034850556,0.0030460377150904943,0.026546827,0.0032051259528146567,0.07262112,0.09315349461264147,0.09810197,0.11410289169501804,0.12297104,0.1342068397741491,0.24589804,0.21837788090900903,0.34662852,0.27856442081833704,0.46785378,0.3553388109768691,0.2443726,0.1197696014608507,0.18028153,0.06335590410430592,0.16004238,0.04304878232090279
0.21904761904761905,1.8357356991453517,0.10540817,0.06743856,0.026137672995502213,0.045702774,0.014143697856894616,0.03921155,0.003229327857537657,0.029635638,0.0034091229413908027,0.0779189,0.09497092908463152,0.10386568,0.11531332160222421,0.13076535,0.13468229822429026,0.25751966,0.21458710852326143,0.3512181,0.27086331072649605,0.47727185,0.3418981391874495,0.25953135,0.11932415932729272,0.19307482,0.06334512008760354,0.16910475,0.043093945175228465
0.23095238095238094,1.9419602818112325,0.111507595,0.0744744,0.02746657733793882,0.051848464,0.014932663625645484,0.045235068,0.0034151180210458525,0.030313533,0.003617230530409887,0.08485773,0.09680170254919528,0.111596495,0.116556355149584,0.13901454,0.1352254165619869,0.2690931,0.2111667021973723,0.37389067,0.2638815293320745,0.49243447,0.3297558791136958,0.26839894,0.11892744826736398,0.20413253,0.06336195427379852,0.18003485,0.0431586570315159
