alpha,t,t_norm,D1_t,D1_k,D2_t,D2_k,D3_t,D3_k,D4_t,D4_k,AE08_t,AE08_k,AE09_t,AE09_k,AE1_t,AE1_k,AE15_t,AE15_k,AE2_t,AE2_k,AE3_t,AE3_k,R1_t,R1_k,R2_t,R2_k,R3_t,R3_k
0.1,4.9028940587540415,0.03150209,0.013904516,0.0020396116824399164,0.008196471,0.0010556083500755037,0.007858694,0.00023732545170909941,0.0050261244,0.00024291419733446333,0.026142396,0.012243197355659903,0.04182222,0.016735320442476897,0.058065772,0.02148945386035962,0.14363478,0.04549874481554811,0.22934091,0.06620433606860131,0.36020005,0.09633263801129112,0.103839174,0.020396116824399162,0.08486029,0.010466614480045934,0.07494285,0.0070388254326548445
0.11190476190476191,5.571947817290885,0.035800897,0.015624236,0.002247450289843176,0.012880415,0.0011681574637082684,0.009627819,0.0002630130354399549,0.0077206157,0.000269994468214743,0.032198846,0.012501091053207493,0.045373313,0.01680770738355412,0.061605494,0.021298887844089613,0.15680273,0.0433413336626732,0.23750652,0.06182654004654216,0.36922115,0.08819574136498587,0.13259788,0.020083598334768808,0.095489174,0.010339642651512888,0.08306815,0.006961036530083611
0.12380952380952381,6.243457763657921,0.040115483,0.02051688,0.0024551776861801333,0.0132510215,0.0012816415668317589,0.011423973,0.0002889910574012959,0.008995749,0.00029754055476285246,0.03615076,0.012764335687293864,0.05138988,0.016906833834966294,0.072364256,0.021169643186798173,0.17254312,0.04155921152109975,0.25304064,0.058229650036610646,0.38184935,0.08158701811906813,0.14667642,0.019830281311454923,0.10932277,0.01024264690029417,0.09366337,0.006903359576567055
0.13571428571428573,6.9170183685678195,0.044443246,0.02621734,0.002662761086573829,0.016691267,0.001396062797006832,0.013918921,0.000315262593748522,0.008728072,0.0003255621637779297,0.039788753,0.013030800601651847,0.05727686,0.017025286520071285,0.0773623,0.02108594617521047,0.17831862,0.04005798375249661,0.26206338,0.05521245805158117,0.38784468,0.07610007390618152,0.14313567,0.019620344848438737,0.12024031,0.010167721993948341,0.10151273,0.006860527328242809
0.14761904761904762,7.592718488961748,0.048784755,0.03080299,0.00287003702977199,0.019666474,0.0015113548157209646,0.016993124,0.00034181532169043084,0.010899052,0.00035405332023393546,0.0448166,0.013298654140698142,0.0649049,0.017157404154157074,0.08528586,0.02103617105110854,0.19436176,0.0387714487786769,0.28053775,0.052636220518515256,0.4132973,0.0714590709851806,0.15879644,0.01944218633071348,0.1258924,0.01010905443571518,0.11241819,0.006828663097866673
0.1595238095238095,8.270274226825784,0.05313819,0.034612212,0.003077025635068428,0.024269693,0.0016275475221127647,0.019883014,0.0003686587145680046,0.01397373,0.00038303078079214727,0.0504231,0.013567524606667773,0.070467986,0.01730031029278933,0.09260465,0.02101340893635861,0.19617048,0.03765514908995334,0.29303724,0.05040670404518404,0.4175892,0.06747645074061562,0.18731147,0.01928881741386179,0.13865237,0.010063162638928359,0.12050092,0.0068054505523006655
0.17142857142857143,8.949525731212153,0.05750252,0.040804125,0.003283722063566875,0.028578931,0.0017446584092921376,0.023403667,0.0003957995650520109,0.016103704,0.0004125088824350372,0.05636171,0.013837196014165953,0.07853088,0.017451901256707827,0.10052893,0.0210125359880349,0.21507268,0.03667631041868889,0.30641592,0.04845506992260657,0.4239301,0.06401663020084736,0.2007366,0.01915504537080677,0.14653298,0.010027459874686081,0.13121444,0.006789169347345787
0.18333333333333335,9.630412573039148,0.061877355,0.046754654,0.003490100850425371,0.03231942,0.0018626946152354893,0.027353032,0.0004232424351541226,0.01890788,0.0004424999872413141,0.060556553,0.014107544716640287,0.08435462,0.01761059646773892,0.10822561,0.021029656058396868,0.22296241,0.035810178204490443,0.30705348,0.04672976945724772,0.444119,0.06097906972307944,0.21495734,0.01903691372959293,0.15624216,0.009999975094996859,0.13984558,0.006778509121062028
0.19523809523809524,10.312739934355662,0.06626145,0.05305201,0.00369619655637919,0.035627786,0.00198169594486113,0.030749703,0.00045099943445115826,0.023009393,0.0004730247190341693,0.0654994,0.014378803342163968,0.09325758,0.017775552092426223,0.11324158,0.021062183006359925,0.23826247,0.035038397292314574,0.3245144,0.04519232219842745,0.45208126,0.05828879582156154,0.22352925,0.018931738459503165,0.16678831,0.009979382153533348,0.14923541,0.0067725915632437204
0.20714285714285713,10.996693061171316,0.07065599,0.05926573,0.0039019151509113543,0.040816255,0.0021016340471227885,0.034892846,0.0004790673032483093,0.026190855,0.0005040879957523666,0.07281311,0.014650768515158797,0.09818649,0.01794559678179895,0.12296109,0.02110745657860951,0.24544716,0.03434550464620604,0.34523237,0.04381137672761981,0.4648947,0.05588611233235896,0.24311125,0.018836831763020333,0.17992438,0.009964335626489972,0.15994847,0.006770521570507114
0.21904761904761905,11.682499228947337,0.075062424,0.06745819,0.004107157079158163,0.04579041,0.0022224774481039338,0.039349318,0.0005074421419722718,0.029384121,0.0005356943376276524,0.07859031,0.014923307203793316,0.10383105,0.018119819817981355,0.13077591,0.021163374210258615,0.25697756,0.033719258865127597,0.34945366,0.042562249681751756,0.47337502,0.05372434504618589,0.25876084,0.018750064926591613,0.19295016,0.00995376896951365,0.16910258,0.006771589881997165
